"astro-ph/0111551","Hector DE Vega","H. J. de Vega, J. A. Siebert","Statistical Mechanics of the Self-gravitating gas with two or more kinds
  of Particles","LaTex, 29 pages, 11 .ps figures, expanded version to appear in Phys.
  Rev. E","Phys.Rev. E66 (2002) 016112","10.1103/PhysRevE.66.016112","LPTHE/01-72","astro-ph cond-mat hep-th",,"  We study the statistical mechanics of the self-gravitating gas at thermal
equilibrium with two kinds of particles. We start from the partition function
in the canonical ensemble which we express as a functional integral over the
densities of the two kinds of particles for a large number of particles. The
system is shown to possess an infinite volume limit when (N_1,N_2,V)->infty,
keeping N_1/V^{1/3} and N_2/V^{1/3} fixed. The saddle point approximation
becomes here exact for (N_1,N_2,V)->infty.It provides a nonlinear differential
equation on the particle densities. For the spherically symmetric case, we
compute the densities as functions of two dimensionless physical parameters:
eta_1=G m_1^2 N_1/[V^{1/3} T] and eta_2=G m_2^2 N_2/[V^{1/3} T] (where G is
Newton's constant, m_1 and m_2 the masses of the two kinds of particles and T
the temperature). According to the values of eta_1 and eta_2 the system can be
either in a gaseous phase or in a highly condensed phase.The gaseous phase is
stable for eta_1 and eta_2 between the origin and their collapse values. The
gas is inhomogeneous and the mass M(R) inside a sphere of radius R scales with
R as M(R) propto R^d suggesting a fractal structure. The value of d depends in
general on eta_1 and eta_2 except on the critical line for the canonical ensem-
ble where it takes the universal value d simeq 1.6 for all values of N_1/N_2.
The equation of state is computed.It is found to be locally a perfect gas
equation of state. Thermodynamic functions are computed as functions of eta_1
and eta_2. They exhibit a square root Riemann sheet with the branch points on
the critical canonical line. This treatment is further generalized to the
self-gravitating gas with n-types of particles.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:06:36 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jun 2002 15:35:03 GMT""}]","2009-11-07"
"nucl-ex/0111020","Garry A. Sokol","G.A. Sokol, L.N. Pavlyuchenko (Lebedev Physical Institute, Moscow)","Discovery of eta-mesic nuclei","9 pages, 7 figures included. Talk of G.A.S. at the 10th Lomonosov
  Conference, August, Moscow. Conference style included",,,,"nucl-ex",,"  First experimental results from a photoreaction which confirm an existence of
eta-mesic nuclei are discussed. The experiment was performed at the 1 GeV
electron synchrotron of LPI. Two values of the end-point energy of the
bremsstrahlung beam were used, 650 and 850 MeV (below and above
eta-photoproduction threshold on the nucleon). Correlated pi+ n pairs flying
from the 12C target were detected by two TOF scintillator spectrometers placed
in opposite directions and transversely to the gamma beam. Measured energy
spectra provide a strong evidence for a creation of eta-mesic nuclei as
intermediate states of the reaction studied.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:09:55 GMT""}]","2007-05-23"
"nucl-th/0111085","Prafulla Kumar Panda","P.K. Panda and F.L. Braghin","Self-consistent quantum effects in the quark meson coupling model","10 pages, latex, 5 figures","Phys.Rev. C66 (2002) 055207","10.1103/PhysRevC.66.055207",,"nucl-th",,"  We derive the equation of state of nuclear matter including vacuum
polarization effects arising from the nucleons and the sigma mesons in the
quark-meson coupling model which incorporates explicitly quark degrees of
freedom with quark coupled to the scalar and vector mesons. This leads to a
softer equation of state for nuclear matter giving a lower value of
incompressibility than would be reached without quantum effects. The {\it
in-medium} nucleon and sigma meson masses are also calculated in a
self-consistent manner.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:48:29 GMT""}]","2009-11-07"
"physics/0111208","Timo T. Korhonen","T.Korhonen, B.Kalantari","Insertion Device Controls at the Swiss Light Source","Submitted to ICALEPCS'01. 3 pages, no figures","eConf C011127:TUAP019,2001",,,"physics.acc-ph",,"  In the initial phase of the Swiss Light Source, four insertion devices will
be installed. The control system for all the ID's follows an uniform concept to
allow a rapid installation schedule, while at the same time allowing for a
variety in operational requirements. The components of the control system
include the gap drive system with encoders, temperature monitoring, beam
position monitoring, power supply controllers for corrector magnets [1] and a
timing module [2]. The gap drive system requirements range from micron-level
accuracy to driving double undulators in synchronism with each other and also
with the other beamline elements. The local synchronism is achieved with a
tightly coupled system having an intelligent motor controller and the global
synchronism by extending the machine timing distribution to the insertion
devices and the beamlines with the capability to add beamline-specific timing
events. [1] A.Luedeke et.al.,'Digital Power supplies for the Swiss Light
Source', these proceedings
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 19:54:06 GMT""},{""version"":""v2"",""created"":""Tue, 5 Feb 2002 14:41:48 GMT""}]","2010-11-15"
"physics/0111209","Alessandro Drago","A. Drago, A. Argan, M. Serio","Fast Electronics for the Dafne Transverse Feedback Systems","3 pages, 5 figures, 2 tables, submitted at ICALEPCS 2001, psn#
  WEAP048","eConf C011127 (2001) WEAP048",,,"physics.acc-ph",,"  Transverse feedback systems for controlling the vertical coupled-bunch
instabilities in the positron and electron main rings are installed at DAFNE.
They started to be operative respectively from June and September 2000. For the
horizontal plane, similar systems have been installed in summer 2001 with less
kicker power. Design specifications and the basic system concepts are
presented. Real time bunch-by-bunch offset correction is implemented using
digital signal processors and dual-port RAM's. Fast analog to digital sampling
is performed at the maximum bunch frequency (368 MHz). The system manages at
full speed a continuous flow of 8-bits data and it has the capability to invert
the sign or put to zero the output for any combination of bunches. A conversion
from digital to analog produces the output correcting signal.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 19:59:36 GMT""}]","2016-09-08"
"physics/0111210","Robert C. Sass","M. Clausen (DESY), Ron MacKenzie, Robert Sass, Hamid Shoaee, Greg
  White, Leeann Yasukawa","COSMIC - The SLAC COntrol System MIgration Challenge",,"eConf C011127 (2001) WEAI001",,,"physics.acc-ph",,"  The current SLC control system was designed and constructed over 20 years
ago. Many of the technologies on which it was based are obsolete and difficult
to maintain. The VMS system that forms the core of the Control System is still
robust but third party applications are almost non-existent and its long-term
future is in doubt. The need for a Control System at SLAC that can support
experiments for the foreseeable future is not in doubt. The present B-Factory
or PEPII experiment is projected to run at least 10 years. An FEL laser of
unprecedented intensity plus an ongoing series of fixed target experiments is
also in our future. The Next Linear Collider or NLC may also be in our future
although somewhat farther distant in time. The NLC has performance requirements
an order of magnitude greater than anything we have built to date. In addition
to large numbers of IOCs and process variables, Physicists would like to
archive everything all the time. This makes the NLC Control System a bit like a
detector system as well. The NLC Control System will also need the rich suite
of accelerator applications that are available with the current SLC Control
System plus many more that are now only a glimmer in the eyes of Accelerator
Physicists. How can we migrate gradually away from the current SLC Control
System towards a design that will scale to the NLC while keeping everything
operating smoothly for the ongoing experiments?
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 08:19:20 GMT""}]","2007-05-23"
"physics/0111212","Daniil Korovinsky","Vladimir S. Semenov, Daniil B. Korovinski, Helfried K.Biernat","Euler potentials for the MHD Kamchatnov-Hopf soliton solution","15 pages, 12 figures",,"10.5194/npg-9-347-2002",,"physics.plasm-ph physics.space-ph",,"  In the MHD description of plasma phenomena the concept of magnetic helicity
turns out to be very useful. We present here an example of introducing Euler
potentials into a topological MHD soliton which has non-trivial helicity. The
MHD soliton solution (Kamchatnov, 1982) is based on the Hopf invariant of the
mapping of a 3D sphere into a 2D sphere; it can have arbitrary helicity
depending on control parameters. It is shown how to define Euler potentials
globally. The singular curve of the Euler potential plays the key role in
computing helicity. With the introduction of Euler potentials, the helicity can
be calculated as an integral over the surface bounded by this singular curve. A
special programme for visualization is worked out. Helicity coordinates are
introduced which can be useful for numerical simulations where helicity control
is needed.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:22:09 GMT""}]","2020-01-29"
"quant-ph/0111158","Christof Wunderlich","Christof Wunderlich","Conditional Spin Resonance with Trapped Ions","Slightly modified version of the published paper","In: ""Laser Physics at the Limit"", Springer Verlag Heidelberg,
  Berlin, New York, 2001, p. 261",,,"quant-ph",,"  Internal states of different ions in an electrodynamic trap are coupled when
a static magnetic field is applied -- analogous to spin-spin coupling in
molecules used for NMR. This spin-spin interaction can be used, for example, to
implement quantum logic operations in ion traps using NMR methods. The
collection of trapped ions can be viewed as a $N$-qubit molecule with
adjustable coupling constants.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:09:37 GMT""}]","2007-05-23"
"quant-ph/0111159","Yaroslav Volovich","A.Yu. Khrennikov and Ya.I. Volovich","Numerical Experiment on Interference for Macroscopic Particles","9 pages with *.eps figures",,,,"quant-ph",,"  We consider a classical analogue of the well known quantum two-slit
experiment. Charged particles are scattered on flat screen with two slits and
hit the second screen. We show that the probability distribution on the second
screen when both slits are open is not given by the sum of distributions for
each slit separately, but has an extra interference term that is given with the
quantum rule of the addition of probabilistic alternatives. We show that the
proposed classical model has a context dependence and could be adequately
described with contextual formalism.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 19:59:01 GMT""}]","2007-05-23"
"quant-ph/0111160","Nguyen Ba An","Nguyen Ba An and Truong Minh Duc","Generation of fan-states of radiation field in a cavity","9 pages, 5 figures, RevTex",,,"AD01-KT-04.1.2","quant-ph",,"  A scheme of generating recently introduced fan-states | \alpha, 2k>_F (\alpha
is complex, k=1,2,3,...) is proposed basing on a \Lambda-type atom-cavity field
interaction. We show that with suitable atomic preparations and measurements a
passage of a sequence of N atoms through a cavity may transform an initial
field coherent state | \alpha> to a fan-state | \alpha, 2k>_F with k=2^{N-2}.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 01:53:39 GMT""}]","2007-05-23"
"quant-ph/0111161","Stojan Rebic","S. Rebi\'c, A. S. Parkins and S. M. Tan","Polariton Analysis of a Four-Level Atom Strongly Coupled to a Cavity
  Mode","12 pages, 9 figures",,"10.1103/PhysRevA.65.043806",,"quant-ph",,"  We present a complete analytical solution for a single four-level atom
strongly coupled to a cavity field mode and driven by external coherent laser
fields. The four-level atomic system consists of a three-level subsystem in an
EIT configuration, plus an additional atomic level; this system has been
predicted to exhibit a photon blockade effect. The solution is presented in
terms of polaritons. An effective Hamiltonian obtained by this procedure is
analyzed from the viewpoint of an effective two-level system, and the dynamic
Stark splitting of dressed states is discussed. The fluorescence spectrum of
light exiting the cavity mode is analyzed and relevant transitions identified.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 03:30:16 GMT""}]","2016-08-16"
"quant-ph/0111162","Serge Reynaud","Cyriaque Genet, Astrid Lambrecht, Serge Reynaud","Correlation between plasma and temperature corrections to the Casimir
  force","6 pages, 2 figures","Int. J. Modern Physics A17 (2002) 761-766","10.1142/S0217751X0201008X",,"quant-ph",,"  When comparing experimental results with theoretical predictions of the
Casimir force, the accuracy of the theory is as important as the precision of
experiments. Here we evaluate the Casimir force when finite conductivity of the
reflectors and finite temperature are simultaneously taken into account. We
show that these two corrections are correlated, i.e. that they can not, in
principle, be evaluated separately and simply multiplied. We estimate the
correlation factor which measures the deviation from this common approximation.
We focus our attention on the case of smooth and plane plates with a metallic
optical response modeled by a plasma model.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 09:09:44 GMT""}]","2009-11-07"
"quant-ph/0111163","B. Van den Bossche","N. Debergh, A. A. Pecheritsin, B. F. Samsonov, B. Van den Bossche","Darboux transformations and hidden quadratic supersymmetry of the
  one-dimensional stationary Dirac equation","11 pages, no figure",,,,"quant-ph",,"  A matricial Darboux operator intertwining two one-dimensional stationary
Dirac Hamiltonians is constructed. This operator is such that the potential of
the second Dirac Hamiltonian as well as the corresponding eigenfunctions are
determined through the knowledge of only two eigenfunctions of the first Dirac
Hamiltonian. Moreover this operator together with its adjoint and the two
Hamiltonians generate a quadratic deformation of the superalgebra subtending
the usual supersymmetric quantum mechanics. Our developments are illustrated on
the free particle case and the generalized Coulomb interaction. In the latter
case, a relativistic counterpart of shape-invariance is observed.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 10:29:27 GMT""}]","2007-05-23"
"quant-ph/0111164","Olga D. Timofeevskaya","V.V.Belokurov, O.A.Khrustalev, V.A.Sadovnichy, O.D.Timofeevskaya","Systems and Subsystems in Quantum Communication","6 pages, TEX",,,,"quant-ph",,"  In this paper we develop the conditional density matrix formalism for
adequate description of division and unificationof quantum systems.
Applications of this approach to the descriptions of parapositronium, quantum
teleportation and others examples are discussed.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:35:25 GMT""}]","2007-05-23"
"quant-ph/0111165","Xiaoguang Wang","Xiaoguang Wang","Violation of Bell inequality for thermal states of interaction qubits
  via a multi-qubit Heisenberg model","5 pages, 5 figures, few changed, accepted by New J. Phys","New Journal of Physics 4, 11.1-11.9 (2002).","10.1088/1367-2630/4/1/311",,"quant-ph",,"  We study the violations of Bell inequality for thermal states of qubits in a
multi-qubit Heisenberg model as a function of temperature and external magnetic
fields. Unlike the behaviors of the entanglement the violation can not be
obtained by increasing the temperature or the magnetic field. The threshold
temperatures of the violation are found be less than that of the entanglement.
We also consider a realistic cavity-QED model which is a special case of the
mutli-qubit Heisenberg model.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:37:18 GMT""},{""version"":""v2"",""created"":""Sun, 2 Dec 2001 16:48:06 GMT""},{""version"":""v3"",""created"":""Sun, 9 Dec 2001 18:16:19 GMT""},{""version"":""v4"",""created"":""Wed, 27 Feb 2002 15:17:28 GMT""}]","2009-11-07"
